Video;Frame_number;Kermit;Pigs;Audio_Pigs;Cook;Audio_Cook;StatlerWaldorf;Audio_StatlerWaldorf;Audio_MissPiggy
244;0;0;0;0;0;0;0;0;0
244;1;0;0;0;0;0;0;0;0
244;2;0;0;0;0;0;0;0;0
244;3;0;0;0;0;0;0;0;0
244;4;0;0;0;0;0;0;0;0
244;5;0;0;0;0;0;0;0;0
244;6;0;0;0;0;0;0;0;0
244;7;0;0;0;0;0;0;0;0
244;8;0;0;0;0;0;0;0;0
244;9;0;0;0;0;0;0;0;0
244;10;0;0;0;0;0;0;0;0
244;11;0;0;0;0;0;0;0;0
244;12;0;0;0;0;0;0;0;0
244;13;0;0;0;0;0;0;0;0
244;14;0;0;0;0;0;0;0;0
244;15;0;0;0;0;0;0;0;0
244;16;0;0;0;0;0;0;0;0
244;17;0;0;0;0;0;0;0;0
244;18;0;0;0;0;0;0;0;0
244;19;0;0;0;0;0;0;0;0
244;20;0;0;0;0;0;0;0;0
244;21;0;0;0;0;0;0;0;0
244;22;0;0;0;0;0;0;0;0
244;23;0;0;0;0;0;0;0;0
244;24;0;0;0;0;0;0;0;0
244;25;0;0;0;0;0;0;0;0
244;26;0;0;0;0;0;0;0;0
244;27;0;0;0;0;0;0;0;0
244;28;0;0;0;0;0;0;0;0
244;29;0;0;0;0;0;0;0;0
244;30;0;0;0;0;0;0;0;0
244;31;0;0;0;0;0;0;0;0
244;32;0;0;0;0;0;0;0;0
244;33;0;0;0;0;0;0;0;0
244;34;0;0;0;0;0;0;0;0
244;35;0;0;0;0;0;0;0;0
244;36;0;0;0;0;0;0;0;0
244;37;0;0;0;0;0;0;0;0
244;38;0;0;0;0;0;0;0;0
244;39;0;0;0;0;0;0;0;0
244;40;0;0;0;0;0;0;0;0
244;41;0;0;0;0;0;0;0;0
244;42;0;0;0;0;0;0;0;0
244;43;0;0;0;0;0;0;0;0
244;44;0;0;0;0;0;0;0;0
244;45;0;0;0;0;0;0;0;0
244;46;0;0;0;0;0;0;0;0
244;47;0;0;0;0;0;0;0;0
244;48;0;0;0;0;0;0;0;0
244;49;0;0;0;0;0;0;0;0
244;50;0;0;0;0;0;0;0;0
244;51;0;0;0;0;0;0;0;0
244;52;0;0;0;0;0;0;0;0
244;53;0;0;0;0;0;0;0;0
244;54;0;0;0;0;0;0;0;0
244;55;0;0;0;0;0;0;0;0
244;56;0;0;0;0;0;0;0;0
244;57;0;0;0;0;0;0;0;0
244;58;0;0;0;0;0;0;0;0
244;59;0;0;0;0;0;0;0;0
244;60;0;0;0;0;0;0;0;0
244;61;0;0;0;0;0;0;0;0
244;62;0;0;0;0;0;0;0;0
244;63;0;0;0;0;0;0;0;0
244;64;0;0;0;0;0;0;0;0
244;65;0;0;0;0;0;0;0;0
244;66;0;0;0;0;0;0;0;0
244;67;0;0;0;0;0;0;0;0
244;68;0;0;0;0;0;0;0;0
244;69;0;0;0;0;0;0;0;0
244;70;0;0;0;0;0;0;0;0
244;71;0;0;0;0;0;0;0;0
244;72;0;0;0;0;0;0;0;0
244;73;0;0;0;0;0;0;0;0
244;74;0;0;0;0;0;0;0;0
244;75;0;0;0;0;0;0;0;0
244;76;0;0;0;0;0;0;0;0
244;77;0;0;0;0;0;0;0;0
244;78;0;0;0;0;0;0;0;0
244;79;0;0;0;0;0;0;0;0
244;80;0;0;0;0;0;0;0;0
244;81;0;0;0;0;0;0;0;0
244;82;0;0;0;0;0;0;0;0
244;83;0;0;0;0;0;0;0;0
